Catégorie;Code;Dénomination;Unité;Déboursé HT (€);Note
"Menuiserie Ext";"Mext";"Fourniture et pose de moustiquaire PVC 120 x 74 : 
- Toile en fibre de verre noire 
- Couleur profilés : RAL 7016 Satinée
- Enroulement intérieur";"U";"172";""
"Menuiserie Ext";"Mext";"Fourniture et pose de moustiquaire velux";"U";"230";""
"Menuiserie Ext";"Mext";"Fourniture menuiserie PVC 120x74 :
- Gamme NEO PRESTIGE 2
- Localisation : Cuisine
- RAL 7016
- Pose en applique
- Grille de ventilation auto-régulée 1 sur 2
- Uw = à 1.5W/m².K
- Sw = à 0.48
- Dormant 140
- Vitrage 4/20/4 LowE
- Ensemble du chassis : Vitrage LowE avec intercalaire Warm-Edge + ARGON
- Poignée tombante, coloris alu brossé
- Avec Pare-empête";"U";"322";""
"Menuiserie Ext";"Mext";"Fourniture menuiserie pvc 2500x1150 3 vantaux compris volet extérieur motorisé";"U";"2297.7";""
"Menuiserie Ext";"Mext";"Fourniture menuiserie pvc blanc compris volet extérieur motorisé
Localisation : Cuisine/ Séjour";"U";"812.7";""
"Menuiserie Ext";"Mext";"Fourniture menuiserie pvc blanc
Localisation : Sdb/ WC";"U";"465.75";""
"Menuiserie Ext";"Mext";"Pose de menuiseries";"U";"150";""
"Menuiserie Ext";"Mext";"Pose de menuiseries compris volet";"U";"245";""
"Menuiserie Int";"Mint";"Fourniture et pose de blocs portes isoplanes 83 cm x 204 cm compris quincailleries ";"U";"250";""
"Menuiserie Int";"Mint";"Fourniture et pose de Porte coulissante prépeinte acoustique 43db avec habillage acoustique couvre-joints intégrés et plinthes auto 204 ht x 123 larg";"m²";"1850";""
"Menuiserie Int";"Mint";"Réalisation de l'habillage du batî support sanitaire suspendu avec plaque haute dureté HABITO";"F";"255";""
"Plâtrerie";"Platrerie";"Fourniture et pose de blocs portes ISOPLANE AMES PLEINES ";"U";"305";""
"Plâtrerie";"Platrerie";"Fourniture et pose de laine de verre GR32 en  120 mm";"m²";"21";""
"Plâtrerie";"Platrerie";"Fourniture et pose de porte coulissante ";"U";"605";""
"Plâtrerie";"Platrerie";"Fourniture et pose de trappe de visite 30 x 30 laquée blanc ";"F";"125";""
"Plâtrerie";"Platrerie";"Fourniture et pose d'un isolant alvéolaire hybris en 105 mm R=4,00 K/W";"m²";"19";""
"Plâtrerie";"Platrerie";"Fourniture et pose d'un isolant alvéolaire hybris en 60 + 125 mm R=6,10 K/W";"m²";"19";""
"Plâtrerie";"Platrerie";"Fourniture et pose d'un isolant laine de verre 200 mm R=6,00 K/W";"m²";"36";""
"Plâtrerie";"";"Plus value pour plaques hydrofuges "Pièces humides"";"m²";"5";""
"Plâtrerie";"";"Plus value pour plaques phonique ";"m²";"7";""
"Plâtrerie";"Platrerie";"Réalisation de cloison séparative en 100 mm avec pose de plaques de plâtre BA 13 pour pose de porte à galandage";"m²";"38";""
"Plâtrerie";"Platrerie";"Réalisation de cloison séparative en 72/48 avec pose de plaques de plâtre BA13 vissées sur ossature métalique compris laine 45 mm";"m²";"41.5";""
"Plâtrerie";"Platrerie";"Réalisation de faux plafond suspendu rampant avec pose de BA13 vissées sur ossature métallique R+1";"m²";"35";""
"Plâtrerie";"Platrerie";"Réalisation de tête de lit 120 ht x 200 long x 20 cm ép ";"m²";"150";""
"Plâtrerie";"Platrerie";"Réalisation d'un doublage de mur par pose de plaque de plâtre BA13 vissées sur ossature métallique ";"m²";"41.5";""
"Plâtrerie";"Platrerie";"Traitement des joints de l'ensemble";"m²";"5";""
"Plomberie CVC";"";"Création des réseaux de distribution eau chaude et eau froide";"U";"900";""
"Plomberie CVC";"";"Création des réseaux de distribution eau chaude et eau froide";"U";"2400";""
"Plomberie CVC";"";"Dépose et pose de la climatisation";"F";"250";""
"Plomberie CVC";"";"Dispositif alimentation WC et robinet  avec EP cuve : 
- Compresseur 
- Filtre 
- Clapet anti-retour
- Flotteur";"U";"648";""
"Plomberie CVC";"";"Fourniture bati support et WC suspendu";"U";"444.15";""
"Plomberie CVC";"";"Fourniture de caniveau encastrable ";"U";"186";""
"Plomberie CVC";"";"Fourniture de receveur de douche 90 x 90";"U";"253.5";""
"Plomberie CVC";"";"Fourniture d'une paroi de baignoire amovible 105 x 140 cm";"U";"280";""
"Plomberie CVC";"";"Fourniture d'une paroi de douche";"U";"280";""
"Plomberie CVC";"";"Fourniture d'un mitigeur evier";"U";"50";""
"Plomberie CVC";"";"Fourniture d'un robinet de salle de bain";"U";"50";""
"Plomberie CVC";"";"Fourniture et pose d'un meuble double vasque compris mirroir";"U";"804.7";""
