Code;Catégorie;Dénomination;Unité;Prix HT;Temps estimé (min);Description
PLO-012;Plomberie CVC;Fourniture et pose d'un meuble double vasque compris mirroir;U;804.7;120;
PLO-013;Plomberie CVC;Fourniture et pose d'un meuble simple vasque;U;450;120;
PLO-014;Plomberie CVC;Fourniture et pose d'un robinet extérieur;U;245;120;
PLO-015;Plomberie CVC;Fourniture et pose d'un système de VMC simple flux hydro B compris trappe de visite ou Extracteur d'air;U;1650;120;
PLO-016;Plomberie CVC;Fourniture meuble lave main compris mitigeur;U;160;120;
PLO-017;Plomberie CVC;Fourniture mirroir;U;95;120;
PLO-018;Plomberie CVC;Fourniture un ensemble barre de douche;U;155;120;
PLO-019;Plomberie CVC;Fourniture un ensemble barre de douche;U;201.5;120;
PLO-020;Plomberie CVC;Fourniture un ensemble barre de douche support et flexible;U;155;120;
PLO-021;Plomberie CVC;Fourniture WC;U;160;120;
PLO-022;Plomberie CVC;Pose d'élément sanitaire :;u;0;60;
S-002;- Siphon douche;;u;0;60;
P-003;- Pare douche;;u;0;60;
C-005;- Colonne de douche;;u;0;60;
M-001;- Mitigeur;;u;0;60;
M-002;- Meuble vasque;;u;0;60;
W-001;- WC;;u;0;60;
L-006;"- Lave main WC;U;1745;";;u;0;60;
PLO-023;Plomberie CVC;Pose d'éléments sanitaires :;u;0;60;
R-002;- Receveur;;u;0;60;
P-004;- Paroi de douche;;u;0;60;
C-006;- Colonne de douche;;u;0;60;
M-003;- Mitigeur;;u;0;60;
M-004;- Meuble vasque;;u;0;60;
W-002;"- WC;U;2745;";;u;0;60;
PLOMBERIE-CVC;Plomberie CVC;Receveur céramique  l. 80 x L. 80 x h. 5,8 cm Ø de la bonde 90 mm;1;180;60;
Revêtements-sols;Revêtement de sol;Fourniture dalle travertin 1,2 cm ép;m²;31;90;
Revêtements-sols;Revêtement de sol;Fourniture dalle travertin 3 cm ép;m²;0;90;
Revêtements-sols;Revêtement de sol;Fourniture de carrelage 60 x 60 cm;m²;35;90;
Revêtements-sols;Revêtement de sol;Fourniture de carrelage R+1;m²;35;90;
Revêtements-sols;Revêtement de sol;Fourniture de carrelage RDC;m²;35;90;
Revêtements-sols;Revêtement de sol;Fourniture de margelle carrelée 60 x 30 x 2 cm;ml;24;45;
Revêtements-sols;Revêtement de sol;Fourniture d'un parquet contre collé 35€/m² (max);m²;35;90;
Revêtements-sols;Revêtement de sol;Fourniture et pose de plinthes largeur 8cm en médium pré-peintes à bords droits;ml;17.5;45;
Revêtements-sols;Revêtement de sol;Fourniture et pose de ragréage fibré P3 renforcé;m²;15;90;
Revêtements-sols;Revêtement de sol;Fourniture margelle travertin 60 x 33 x 3 cm ép;ml;30;45;
Revêtements-sols;Revêtement de sol;Pose dalle 1,2 cm ép compris jointement;m²;35;90;
Revêtements-sols;Revêtement de sol;Pose dalle 3 cm ép compris jointement;m²;50;90;
Revêtements-sols;Revêtement de sol;Pose du carrelage compris jointement;m²;75;90;
Revêtements-sols;Revêtement de sol;Pose du margelle compris jointement sur dalle existante;ml;28;45;
Revêtements-sols;Revêtement de sol;Pose d'un parquet contre collé en pose flottante;m²;30;90;
Sols;Revêtement de sol;Pose margelle 3 cm ép compris jointement;m²;20;90;
Revêtements-sols;Revêtement de sol;Primaire d'accrochage;m²;2.5;90;
Revêtements-sols;Revêtement de sol;Traitement hydrofuge des dalles;m²;3;90;
REV-001;Revêtement mural;Détapissage complet des supports;m²;11.5;90;
REV-002;Revêtement mural;Peinture mur velours  : Préparation, impression et 2 couches de finition;m²;12;90;
REV-003;Revêtement mural;Peinture plafond velours : Préparation, impression et 2 couches de finition velours;m²;11.5;90;
REV-004;Revêtement mural;Peinture porte à galandage : Préparation, impression et 2 couches de finition;U;70;120;
REV-005;Revêtement mural;Peinture poutre : Préparation, impression et 2 couches de finition;U;250;120;
Revêtements-mural;Revêtement mural;Pose d'un carrelage murale compris encollage et jointement et primaire d'étanchéité pour SDB et WC;F;1745;180;
REV-006;Revêtement mural;Ratissage en 2 passes des supports à l'enduit fin, Ponçage;m²;15.2;90;
RAV-001;Ravalement;Fourniture et pose d'agrafes;F;1390;180;
RAV-002;Ravalement;Lavage avec jet à haute pression;m²;3.5;90;
RAV-003;Ravalement;Mise en œuvre de baguette d'angle de finition;F;845;180;
RAV-004;Ravalement;Ouverture des fissures;F;924;180;
RAV-005;Ravalement;Préparation, application 2 couches de peinture mat façade, couleur approchante;m²;21;90;
RAV-006;Ravalement;Préparation, application d'une couche de fixateur;m²;14;90;
RAV-007;Ravalement;Réalisation de peinture appuis en terre cuite;U;95;120;
RAV-008;Ravalement;Réalisation de peinture sous le porche RAL enduit;F;575;180;
RAV-009;Ravalement;Réalisation d'un enduit monocouche finition gratté sur maison;m²;40;90;
RAV-010;Ravalement;Rebouchage des fissures au mortier fibré de réparation;F;875;180;
ZIN-001;Zinguerie;Fourniture et pose de descente Alu diam 100;ML;30;45;
ZIN-002;Zinguerie;Fourniture et pose de gouttières Alu diam 100;ML;30;45;
ZIN-003;Zinguerie;Réalisation de couloir zinc au droit de la cheminée;F;385;180;
Initiale;Initial;Installation, amené et repli du matériels;F;650;180;
Initiale;Initial;Préparation chantier - Amené et repli du matériels - Déplacement - Etude d'exécution;F;350;180;
Initial;Initial;Réalisation de plans d'exécution;F;5000;180;
SER-001;Serrurerie;Approvisionnement IPE;F;50;180;
SER-002;Serrurerie;Fourniture cornière pour IPE sur mesure;U;49;120;
SER-003;Serrurerie;Fourniture et pose de ratelier à vélo pour 5 emplacements en acier galvanisé compris toutes sujétions de fixation au sol;U;3;120;
SER-004;Serrurerie;Fourniture IPE 140 6 ml;U;114;120;
SER-005;Serrurerie;Pose cornière IPE sous plancher suivant plan implantation;F;494.1;180;
Cloture;Clôture;Fourniture et pose de chapeau plat béton;ML;52;45;
Cloture;Clôture;Fourniture et pose de lattes d'occultation en composite en remplissage des panneaux rigides, ht=1.73 m;ml;110;45;
Serrurerie;Clôture;Fourniture et pose de lattes d'occultation en composite en remplissage des panneaux rigides, ht=1.73 m, comprenant lattes intémédiaires et lattes d'extrémités, réglettes de fixation, lisse haute et triangles aluminium ainsi que toutes sujétions de mise en oeuvre.;ml;15;45;
CLO-001;Clôture;Fourniture et pose de lattes d'occultation en PVC en remplissage des panneaux rigides, ht=1.53 m, comprenant lattes intermédiaires et lattes d'extrémités, réglettes de fixation, lisse haute et triangles aluminium;ml;283.14;45;
Serrurerie;Clôture;Fourniture et pose de panneau de protection et d’habillage (de type Decochoc de SPM) en PVC rigide antibactérien, classé M1 (Bs2d0) et coloré dans la masse;U;13;120;
